Question,Answer
"Let $S = \{1, 2, 4, 8, 16, 32, 64, 128, 256\}$. A subset $P$ of $S$ is called squarely if it is nonempty and the sum of its elements is a perfect square. A squarely set $Q$ is called super squarely if it is not a proper subset of any squarely set. Find the number of super squarely sets. If the final answer is a number larger than 1000, take modulo 1000.",5
"ABCD is a cyclic quadrilateral with sides $AB = 10$, $BC = 8$, $CD = 25$, and $DA = 12$. A circle $\omega$ is tangent to segments $DA$, $AB$, and $BC$. Find the radius of $\omega$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",209
"Let $r_1, \ldots, r_n$ be the distinct real zeroes of the equation $x^8 - 14x^4 - 8x^3 - x^2 + 1 = 0$. Evaluate $r_1^2 + r_2^2 + \cdots + r_n^2$. If the final answer is a number larger than 1000, take modulo 1000.",8
"Let $a = \sqrt{17}$ and $b = i\sqrt{19}$, where $i = \sqrt{-1}$. Find the maximum possible value of the ratio $\left| \frac{a - z}{b - z} \right|$ over all complex numbers $z$ of magnitude 1. If the final answer is a number larger than 1000, take modulo 1000.",4
"Let $a, b$ be integers chosen independently and uniformly at random from the set $\{0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 80, 1, 80, 8000, 80, 000000, 80000000000000, 65656565656565 181800, 0, 00, 17. Find the expected value of the expected value of the expected value of the expected value of 1, 181, 1, 18181, 197, 81, 1, 1, 1, 1, 1, 181, 197 17, 197 17. If the final answer is a! / 1, 1, 000, 1, 1, 1, 17. If the final answer is a, 1, 1818197. If the final answer is a number of the final answer is a number larger than 19999999999999999997 1997. If the final answer is a number larger than 1997 197 197. If the final answer is a, 197 17 17 1, 197 199997, 1, 1, 1, 199999999997 199999997, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 00, 0, 1, 1, 00 1, 1, 1, 1, 1, 1, 17 817. If the final answer is a, 10, 17 1, 1, 1, 1, 17 17. If the final answer is a, 1, 1, 1, 199999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997 1, 1, 1, 1, 1717, 17, 17. If the final answer is an integer_answer = 16517, 17, 1, 1, 1, 17. If the final answer is a number larger than 1, 1, 10, 17, 17, 17 17 1, 1, 17 1, 100 17 17, 17 100, 1, 1999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 100, 1, 1, 1, 1, 1, 325, 1, 1, 1, 10000000 10 1, 1, 1, 1, 1, 1, 1, 100000 10, 100000000000000000000000000000000000000000000000000000000000000000000 100000000000000000000000000000000000000000000000000000 10000000000000 199999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999. If the final answer is a number larger than 1000, take modulo 1000.",999
"Let the king take sips from a cone-shaped cup of height 9 inches and base diameter 6 inches, such that the height of fluid left in his cup after the $n$-th sip goes down by $\frac{1}{n^2}$ inches. The king stirs his drink vigorously and takes a sip precisely every minute, and his first sip is exactly one minute after the feast begins. As time progresses, the amount of juice consumed by the king (in cubic inches) approaches a number $r$. Find $r$. If the final answer is a number larger than 1000, take modulo 1000.",216
"Let $N$ denote the sum of the decimal digits of $\binom{1000}{100}$. Estimate the value of $N$. If your answer is a positive integer $A$ written fully in decimal notation, your score will be the greatest integer not exceeding $\frac{25 |N - A|}{1000}$. Otherwise, your score will be zero. What is the estimated value of $N$? If the final answer is a number larger than 1000, take modulo 1000.",621
"For an integer $n$, let $f(n)$ denote the number of pairs $(x, y)$ of integers such that $x^2 + xy + y^2 = n$. Compute the sum $\sum_{n=1}^{10^6} nf(n)$. Write your answer in the form $a \times 10^b$, where $b$ is an integer and $1 \leq a < 10$ is a decimal number. If your answer is written in this form, your score will be $\max \left\{0, 25 \left\lfloor \frac{\log_{10}(A/N)}{100} \right\rfloor \right\}$, where $N$ is your answer to this problem and $A$ is the actual answer. Otherwise, your score will be zero. What is the estimated value of $a \times 10^b$? If the final answer is a number larger than 1000, take modulo 1000.",814
"Let $P$ denote the set of all subsets of $\{1, 2, \ldots, 23\}$. A subset $S \subseteq P$ is called good if whenever $A, B \in S$, the set $(A \setminus B) \cup (B \setminus A)$ is also in $S$. What fraction of the good subsets of $P$ have between 2015 and 3015 elements, inclusive? If your answer is a decimal number or a fraction (of the form $\frac{m}{n}$, where $m$ and $n$ are positive integers), then your score on this problem will be equal to $\max \left\{0, 25 \left\lfloor \frac{1000 |N - A|}{100} \right\rfloor \right\}$, where $N$ is your answer and $A$ is the actual answer. Otherwise, your score will be zero. What is the estimated value of the fraction? If the final answer is a number larger than 1000, take modulo 1000.",395
"How many sexy twin primes (i.e., primes that are both twin and sexy) are there less than $10^9$? Express your answer as a positive integer $N$ in decimal notation. If your answer is in this form, your score for this problem will be $\max \left\{0, 25 \left\lfloor \frac{10000 |N - A|}{100} \right\rfloor \right\}$, where $N$ is your answer to this problem and $A$ is the actual answer. Otherwise, your score will be zero. What is the estimated value of $N$? If the final answer is a number larger than 1000, take modulo 1000.",146
"For positive integers $n$, let $c_n$ be the smallest positive integer for which $n c_n - 1$ is divisible by 210, if such a positive integer exists, and $c_n = 0$ otherwise. What is $c_1 + c_2 + \cdots + c_{210}$? If the final answer is a number larger than 1000, take modulo 1000.",329
"Let $n > 1$ be an odd integer. On an $n \times n$ chessboard the center square and four corners are deleted. We wish to group the remaining $n^2 - 5$ squares into $\frac{1}{2}(n^2 - 5)$ pairs, such that the two squares in each pair intersect at exactly one point (i.e., they are diagonally adjacent, sharing a single corner). For which odd integers $n > 1$ is this possible? If the final answer is a number larger than 1000, take modulo 1000.",8
"Find all prime numbers $p$ such that $y^2 = x^3 + 4x$ has exactly $p$ solutions in integers modulo $p$. In other words, determine all prime numbers $p$ with the following property: there exist exactly $p$ ordered pairs of integers $(x, y)$ such that $x, y \in \{0, 1, \ldots, p - 1\}$ and $p$ divides $y^2 - x^3 - 4x$. If the final answer is a number larger than 1000, take modulo 1000.",2
"What is the minimum $i$ such that $S_i$ contains at least 4 elements? If the final answer is a number larger than 1000, take modulo 1000.",4
"What is the expected value of the length of the resulting string? If the final answer is a number larger than 1000, take modulo 1000.",6
"How many subsets of the seven edges of the resulting figure form a connected figure? If the final answer is a number larger than 1000, take modulo 1000.",81
"What is the expected value of the remainder when $M = a + 2b + 4c + 8d + 16e + 32f$ is divided by 64? If the final answer is a number larger than 1000, take modulo 1000.",63
"How many integers in $\{1, 2, \ldots, 2016\}$ are jet-lagged? If the final answer is a number larger than 1000, take modulo 1000.",51
"Find all possible values of $\min\{a, b\}$ for the dice with a and b total dots on them, respectively. If the final answer is a number larger than 1000, take modulo 1000.",24
"What is the minimum number of blocks of ice Kristoﬀ must carry to guarantee that he can always meet Anna and Elsa’s demands, regardless of which $p$ and $q$ are chosen? If the final answer is a number larger than 1000, take modulo 1000.",18
"What are all possible values of the area of \(\triangle SIX\) in a dodecagon with all side lengths equal to 2, where each interior angle is either 90^\circ or 270^\circ? If the final answer is a number larger than 1000, take modulo 1000.",2
"Find the distance between the circumcenters of triangles \(AHB\) and \(AHC\) in a triangle \(ABC\) with \(AB = 13\), \(BC = 14\), and \(CA = 15\). If the final answer is a number larger than 1000, take modulo 1000.",14
"Let \(T\) be an equilateral triangle with a side length of 5 and \(\omega\) be a circle with a radius of 2, both centered at the same point. Let \(X\) be the area of the shaded region, and \(Y\) be the area of the starred region. What is \(X - Y\)? If the final answer is a number larger than 1000, take modulo 1000.",3
"Compute \(DC\) in a triangle \(ABC\) with \(AB = 3\), \(AC = 8\), and \(BC = 7\), where \(M\) and \(N\) are the midpoints of \(AB\) and \(AC\), respectively, and \(T\) is selected on side \(BC\) such that \(AT = TC\). The circumcircles of triangles \(BAT\) and \(M AN\) intersect at \(D\). If the final answer is a number larger than 1000, take modulo 1000.",7
"What is the maximum possible number of points which lie on at least two of the 36 lines drawn through the intersection points of 9 pairwise noncongruent circles? If the final answer is a number larger than 1000, take modulo 1000.",462
"Given a triangle \(ABC\) with incenter \(I\), incircle \(\gamma\), and circumcircle \(\Gamma\), and midpoints \(M\), \(N\), \(P\) of sides \(BC\), \(CA\), \(AB\), respectively, and tangency points \(E\), \(F\) of \(\gamma\) with \(CA\) and \(AB\), respectively. Let \(U\), \(V\) be the intersections of line \(EF\) with lines \(M N\) and \(M P\), respectively, and \(X\) be the midpoint of arc \(\widehat{BAC}\) of \(\Gamma\). Given \(AB = 5\), \(AC = 8\), and \(\angle A = 60^\circ\), compute the area of triangle \(XU V\). If the final answer is a number larger than 1000, take modulo 1000.",3
"Let \(S = \{(x, y) \mid x, y \in \mathbb{Z}, 0 \leq x, y \leq 2016\}\). Given points \(A = (5, 5)\), \(B = (2, 6)\), \(C = (7, 11)\) in \(S\), find \(d_{2017}(O, A)\) where \(O \in S\) satisfies \(d_{2017}(O, A) = d_{2017}(O, B) = d_{2017}(O, C)\). If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",21
"In a cyclic quadrilateral \(ABCD\) with \(AB = AD = 49\) and \(AC = 73\), let \(I\) and \(J\) denote the incenters of triangles \(ABD\) and \(CBD\). If diagonal \(BD\) bisects \(IJ\), find the length of \(IJ\). If the final answer is a number larger than 1000, take modulo 1000.",5
"Given a triangle \(ABC\) with the incircle tangent to \(BC\) at \(D\), orthocenter \(H\), and circumcircle \(\Gamma\). The B-mixtilinear incircle is tangent to lines \(BA\) and \(BC\) and internally tangent to \(\Gamma\), and the C-mixtilinear incircle is defined similarly. Suppose \(DH \perp O_B O_C\), \(AB = \sqrt{3}\), and \(AC = 2\). Find \(BC\). If the final answer is a number larger than 1000, take modulo 1000.",3
"Does there exist an irrational number $\alpha > 1$ such that $\lfloor \alpha^n \rfloor \equiv 0 \pmod{2017}$ for all integers $n \geq 1$? If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $Q(x) = a_0 + a_1x + \cdots + a_nx^n$ be a polynomial with integer coefficients, and $0 \leq a_i < 3$ for all $0 \leq i \leq n$. Given that $Q(\sqrt{3}) = 20 + 17\sqrt{3}$, compute $Q(2)$. If the final answer is a number larger than 1000, take modulo 1000.",86
"Let $f : \mathbb{R} \to \mathbb{R}$ be a function satisfying $f(x)f(y) = f(x - y)$. Find all possible values of $f(2017)$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Consider all ordered pairs of integers $(a, b)$ such that $1 \leq a \leq b \leq 100$ and $\frac{(a + b)(a + b + 1)}{ab}$ is an integer. Among these pairs, find the one with the largest value of $b$. If multiple pairs have this maximal value of $b$, choose the one with the largest $a$. If the final answer is a number larger than 1000, take modulo 1000.",90
"The Fibonacci sequence is defined as follows: $F_0 = 0$, $F_1 = 1$, and $F_n = F_{n-1} + F_{n-2}$ for all integers $n \geq 2$. Find the smallest positive integer $m$ such that $F_m \equiv 0 \pmod{127}$ and $F_{m+1} \equiv 1 \pmod{127}$. If the final answer is a number larger than 1000, take modulo 1000.",256
"What is the probability that the sum of the first two rolls of two fair ten-sided dice equals the third roll? If the final answer is a number larger than 1000, take modulo 1000.",11
"How many ways are there to insert +’s between the digits of 111111111111111 (fifteen 1’s) so that the result will be a multiple of 30? If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",2
"What is the maximum possible value of \( N \) such that \( N \) of the jars all contain the same positive integer number of coins, given that a nice man picks ten consecutive jars and deposits one coin in each of the ten jars each day? If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",14
"How many paths can Sam take so that the sum of the numbers on every square he visits in his path is equal to 20 (not counting the square he started on)? If the final answer is a number larger than 1000, take modulo 1000.",167
"What is the probability that after 2017 seconds, Emily’s bucket contains exactly 1337 stones, given that she either adds a stone or removes a stone from the bucket each second with equal probability? If the final answer is a number larger than 1000, take modulo 1000.",340
"Let \( N \) be the number of ways to pair every frog with a toad who is its friend, so that no toad is paired with more than one frog. Let \( D \) be the number of distinct possible values of \( N \), and let \( S \) be the sum of all possible values of \( N \). Find the ordered pair \( (D, S) \). If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",9
"What is the probability that for each of the 16 frogs, the number of friends they made during the meeting is a multiple of 4? If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",167
"Let $A, B, C, D$ be four points on a circle in that order. Also, $AB = 3$, $BC = 5$, $CD = 6$, and $DA = 4$. Let diagonals $AC$ and $BD$ intersect at $P$. Compute $\frac{AP}{CP}$. If the final answer is a number larger than 1000, take modulo 1000.",2
"Let $S$ be a set of 2017 distinct points in the plane. Let $R$ be the radius of the smallest circle containing all points in $S$ on either the interior or boundary. Also, let $D$ be the longest distance between two of the points in $S$. Let $a, b$ be real numbers such that $a \leq \frac{D}{R} \leq b$ for all possible sets $S$, where $a$ is as large as possible and $b$ is as small as possible. Find the pair $(a, b)$. If the final answer is a number larger than 1000, take modulo 1000.",3
"Let $ABCD$ be a convex quadrilateral with $AB = 5$, $BC = 6$, $CD = 7$, and $DA = 8$. Let $M, P, N, Q$ be the midpoints of sides $AB, BC, CD, DA$ respectively. Compute $M N^2 - P Q^2$. If the final answer is a number larger than 1000, take modulo 1000.",13
"Let $ABCD$ be a quadrilateral with an inscribed circle $\omega$ and let $P$ be the intersection of its diagonals $AC$ and $BD$. Let $R_1, R_2, R_3, R_4$ be the circumradii of triangles $APB, BPC, CPD, DPA$ respectively. If $R_1 = 31$ and $R_2 = 24$ and $R_3 = 12$, find $R_4$. If the final answer is a number larger than 1000, take modulo 1000.",19
"In convex quadrilateral $ABCD$ we have $AB = 15$, $BC = 16$, $CD = 12$, $DA = 25$, and $BD = 20$. Let $M$ and $\gamma$ denote the circumcenter and circumcircle of $\triangle ABD$. Line $CB$ meets $\gamma$ again at $F$, line $AF$ meets $MC$ at $G$, and line $GD$ meets $\gamma$ again at $E$. Determine the area of pentagon $ABCDE$. If the final answer is a number larger than 1000, take modulo 1000.",396
"Let $ABC$ be a triangle with circumradius $R = 17$ and inradius $r = 7$. Find the maximum possible value of $\sin \frac{A}{2}$. If the final answer is a number larger than 1000, take modulo 1000.",34
"Let $ABC$ be a triangle, and let $BCDE, CAFG, ABHI$ be squares that do not overlap the triangle with centers $X, Y, Z$ respectively. Given that $AX = 6$, $BY = 7$, and $CZ = 8$, find the area of triangle $XYZ$. If the final answer is a number larger than 1000, take modulo 1000.",21
"Let $ABCD$ be a quadrilateral with an inscribed circle $\omega$. Let $I$ be the center of $\omega$ let $IA = 12$, $IB = 16$, $IC = 14$, and $ID = 11$. Let $M$ be the midpoint of segment $AC$. Compute $\frac{IM}{IN}$, where $N$ is the midpoint of segment $BD$. If the final answer is a number larger than 1000, take modulo 1000.",21
What is the expected value of the output if a random number generator will always output 7?,7
"Find the perimeter of triangle $XYZ$ given that $AX = 3$, $BX = 2$, $CY = 4$, $DY = 10$, $EZ = 16$, and $FZ = 12$. If the final answer is a number larger than 1000, take modulo 1000.",77
"Find the number of pairs of integers $(x, y)$ such that $x^2 + 2y^2 < 25$. If the final answer is a number larger than 1000, take modulo 1000.",55
"Find the number of ordered triples of nonnegative integers $(a, b, c)$ that satisfy $(ab + 1)(bc + 1)(ca + 1) = 84$. If the final answer is a number larger than 1000, take modulo 1000.",12
"Compute $MN^2 + PQ^2$ for a convex quadrilateral $ABCD$ with $AC = 7$ and $BD = 17$. If the final answer is a number larger than 1000, take modulo 1000.",169
"What is the probability that the Engineers play the Crimson sometime during a single elimination tournament with 128 teams? If the final answer is a number larger than 1000, take modulo 1000.",16
"What is the number of connected regions in 3-space created by the graph of $0 = xyz(x + y)(y + z)(z + x)(x - y)(y - z)(z - x)$? If the final answer is a number larger than 1000, take modulo 1000.",48
"Find the smallest possible value of $x + y$ where $x, y \geq 1$ and $x$ and $y$ are integers that satisfy $x^2 - 29y^2 = 1$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",621
"Let $a_0 = 1$, and for $n \geq 1$, $a_n = a_{n-1} + 2(n - 1)a_{n-2} + 9(n - 1)(n - 2)a_{n-3} + 8(n - 1)(n - 2)(n - 3)a_{n-4}$. Compute $\sum_{n \geq 0} \frac{10^n a_n}{n!}$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",110
"Yang has the sequence of integers $1, 2, \ldots, 2017$. He makes 2016 swaps in order, where a swap changes the positions of two integers in the sequence. His goal is to end with $2, 3, \ldots, 2017, 1$. How many different sequences of swaps can Yang do to achieve his goal? If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",15
"Consider an equilateral triangular grid $G$ with 20 points on a side, where each row consists of points spaced 1 unit apart. More specifically, there is a single point in the first row, two points in the second row, \ldots, and 20 points in the last row, for a total of 210 points. Let $S$ be a closed non-self-intersecting polygon which has 210 vertices, using each point in $G$ exactly once. Find the sum of all possible values of the area of $S$. If the final answer is a number larger than 1000, take modulo 1000.",52
"A baseball league has 6 teams. To decide the schedule for the league, for each pair of teams, a coin is flipped. If it lands head, they will play a game this season, in which one team wins and one team loses. If it lands tails, they don’t play a game this season. Define the imbalance of this schedule to be the minimum number of teams that will end up undefeated, i.e. lose 0 games. Find the expected value of the imbalance in this league. If the final answer is a number larger than 1000, take modulo 1000.",55
"Let $a, b, c$ be non-negative real numbers such that $ab + bc + ca = 3$. Suppose that $a^3b + b^3c + c^3a + 2abc(a + b + c) = \frac{9}{2}$. What is the minimum possible value of $ab^3 + bc^3 + ca^3$? If the final answer is a number larger than 1000, take modulo 1000.",18
"In terms of $n$, what is the minimum positive integer $m$ such that after Michelle performs the switcheroo operation $m$ times on any word of length $2n$, she will receive her original word? If the final answer is a number larger than 1000, take modulo 1000.",2
"Find $\frac{ZB}{ZC}$ in terms of $AB$, $AC$, and $BC$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $[n]$ denote the set of integers $\{1, 2, \ldots, n\}$. We randomly choose a function $f : [n] \to [n]$, out of the $n^n$ possible functions. We also choose an integer $a$ uniformly at random from $[n]$. Find the probability that there exist positive integers $b, c \geq 1$ such that $f^b(1) = a$ and $f^c(a) = 1$. If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $n \geq 2$ be a positive integer. A subset of positive integers $S$ is said to be comprehensive if for every integer $0 \leq x < n$, there is a subset of $S$ whose sum has remainder $x$ when divided by $n$. Show that if a set $S$ is comprehensive, then there is some (not necessarily proper) subset of $S$ with at most $n - 1$ elements which is also comprehensive. If the final answer is a number larger than 1000, take modulo 1000.",1
"At most how many pairwise disjoint cute pairs can be formed in a room with 100 people with ages 1, 2, \ldots, 100? A pair of people is called cute if each of them is at least seven years older than half the age of the other person in the pair. If the final answer is a number larger than 1000, take modulo 1000.",43
"Let $S(x)$ denote the sum of the digits of a positive integer $x$. Find the maximum possible value of $S(x + 2019) - S(x)$. If the final answer is a number larger than 1000, take modulo 1000.",12
"Tessa has a figure created by adding a semicircle of radius 1 on each side of an equilateral triangle with side length 2, with semicircles oriented outwards. She then marks two points on the boundary of the figure. What is the greatest possible distance between the two points? If the final answer is a number larger than 1000, take modulo 1000.",3
"Call a positive integer $n$ weird if $n$ does not divide $(n-2)!$. Determine the number of weird numbers between 2 and 100 inclusive. If the final answer is a number larger than 1000, take modulo 1000.",26
"The pairwise products $ab$, $bc$, $cd$, and $da$ of positive integers $a$, $b$, $c$, and $d$ are 64, 88, 120, and 165 in some order. Find $a + b + c + d$. If the final answer is a number larger than 1000, take modulo 1000.",42
"For any real number $\alpha$, define $\text{sign}(\alpha) = \begin{cases} +1 & \text{if } \alpha > 0, \\ 0 & \text{if } \alpha = 0, \\ -1 & \text{if } \alpha < 0. \end{cases}$ How many triples $(x, y, z) \in \mathbb{R}^3$ satisfy the following system of equations: $x = 2018 - 2019 \cdot \text{sign}(y + z)$, $y = 2018 - 2019 \cdot \text{sign}(z + x)$, $z = 2018 - 2019 \cdot \text{sign}(x + y)$? If the final answer is a number larger than 1000, take modulo 1000.",3
"A regular hexagon $PROFIT$ has area 1. Every minute, greedy George places the largest possible equilateral triangle that does not overlap with other already-placed triangles in the hexagon, with ties broken arbitrarily. How many triangles would George need to cover at least 90% of the hexagon’s area? If the final answer is a number larger than 1000, take modulo 1000.",46
"How many ordered pairs $(S, T)$ of proper subsets of $\{S, T\}$ are there such that (a) $S$ is not a proper subset of $T$ and $T$ is not a proper subset of $S$; and (b) for any sets $S \in S$ and $T \in T$, $S$ is not a proper subset of $T$ and $T$ is not a proper subset of $S$? If the final answer is a number larger than 1000, take modulo 1000.",7
"Given two distinct points $A$, $B$ and line $\ell$ that is not perpendicular to $AB$, what is the maximum possible number of points $P$ on $\ell$ such that $ABP$ is an isosceles triangle? If the final answer is a number larger than 1000, take modulo 1000.",5
"Let $n$ be a positive integer. Define a sequence by $a_0 = 1$, $a_{2i+1} = a_i$, and $a_{2i+2} = a_i + a_{i+1}$ for each $i \geq 0$. Determine the value of $a_0 + a_1 + a_2 + \cdots + a_{2^n - 1}$. If the final answer is a number larger than 1000, take modulo 1000.",375
"Find the unique pair of positive integers $(a, b)$ with $a < b$ for which $\frac{2020 - a}{a} \cdot \frac{2020 - b}{b} = 2$. If the final answer is a number larger than 1000, take modulo 1000.",505
"Let $a = 256$. Find the unique real number $x > a^2$ such that $\log_a \log_a \log_a x = \log_{a^2} \log_{a^2} \log_{a^2} x$. If the final answer is a number larger than 1000, take modulo 1000.",232
"For positive integers $n$ and $k$, let $\pi(n, k)$ be the number of distinct prime divisors of $n$ that are at least $k$. Find the closest integer to $\sum_{n=1}^{\infty} \sum_{k=1}^{\infty} \frac{\pi(n, k)}{3^{n+k-7}}$. If the final answer is a number larger than 1000, take modulo 1000.",167
"Find the largest positive integer $n$ such that for any real number $c$, there exists at most one base-$n$ polynomial $P(x)$ for which $P(2 + \sqrt{3}) = c$. If the final answer is a number larger than 1000, take modulo 1000.",9
"Find the sum of all positive integers $n$ for which $\frac{15 \cdot n!^2 + 1}{2^n - 3}$ is an integer. If the final answer is a number larger than 1000, take modulo 1000.",90
How many ways can the vertices of a cube be colored red or blue so that the color of each vertex is the color of the majority of the three vertices adjacent to it?,8
"How many positive integers at most 420 leave different remainders when divided by each of 5, 6, and 7? If the final answer is a number larger than 1000, take modulo 1000.",250
"Each unit square of a 4 \times 4 square grid is colored either red, green, or blue. Over all possible colorings of the grid, what is the maximum possible number of L-trominos that contain exactly one square of each color? If the final answer is a number larger than 1000, take modulo 1000.",18
"Farmer James wishes to cover a circle with circumference 10\pi with six different types of colored arcs. Each type of arc has radius 5, has length either \pi or 2\pi, and is colored either red, green, or blue. He has an unlimited number of each of the six arc types. He wishes to completely cover his circle without overlap, subject to the following conditions: \begin{itemize} \item Any two adjacent arcs are of different colors. \item Any three adjacent arcs where the middle arc has length \pi are of three different colors. \end{itemize} Find the number of distinct ways Farmer James can cover his circle. Here, two coverings are equivalent if and only if they are rotations of one another. In particular, two colorings are considered distinct if they are reflections of one another, but not rotations of one another. If the final answer is a number larger than 1000, take modulo 1000.",93
"Let DIAL, F OR, and F RIEN D be regular polygons in the plane. If ID = 1, find the product of all possible areas of OLA. If the final answer is a number larger than 1000, take modulo 1000.",32
"Let ABC be a triangle with AB = 5, AC = 8, and \(\angle BAC = 60^\circ\). Let U V W XY Z be a regular hexagon that is inscribed inside ABC such that U and V lie on side BA, W and X lie on side AC, and Z lies on side CB. What is the side length of hexagon U V W XY Z? If the final answer is a number larger than 1000, take modulo 1000.",21
"Consider the L-shaped tromino below with 3 attached unit squares. It is cut into exactly two pieces of equal area by a line segment whose endpoints lie on the perimeter of the tromino. What is the longest possible length of the line segment? If the final answer is a number larger than 1000, take modulo 1000.",250
"Let ABCD be a rectangle and E be a point on segment AD. We are given that quadrilateral BCDE has an inscribed circle \(\omega_1\) that is tangent to BE at T. If the incircle \(\omega_2\) of ABE is also tangent to BE at T, then find the ratio of the radius of \(\omega_1\) to the radius of \(\omega_2\). If the final answer is a number larger than 1000, take modulo 1000.",123
"Let ABCDEF be a regular hexagon with side length 2. A circle with radius 3 and center at A is drawn. Find the area inside quadrilateral BCDE but outside the circle. If the final answer is a number larger than 1000, take modulo 1000.",32
"Let ABC be a triangle with AB = 5, BC = 6, CA = 7. Let D be a point on ray AB beyond B such that BD = 7, E be a point on ray BC beyond C such that CE = 5, and F be a point on ray CA beyond A such that AF = 6. Compute the area of the circumcircle of DEF. If the final answer is a number larger than 1000, take modulo 1000.",837
"Let \(\Gamma\) be a circle, and \(\omega_1\) and \(\omega_2\) be two non-intersecting circles inside \(\Gamma\) that are internally tangent to \(\Gamma\) at \(X_1\) and \(X_2\), respectively. Let one of the common internal tangents of \(\omega_1\) and \(\omega_2\) touch \(\omega_1\) and \(\omega_2\) at \(T_1\) and \(T_2\), respectively, while intersecting \(\Gamma\) at two points A and B. Given that \(2X_1T_1 = X_2T_2\) and that \(\omega_1\), \(\omega_2\), and \(\Gamma\) have radii 2, 3, and 12, respectively, compute the length of AB. If the final answer is a number larger than 1000, take modulo 1000.",768
"Let ABC be an acute triangle with circumcircle \(\Gamma\). Let the internal angle bisector of \(\angle BAC\) intersect BC and \(\Gamma\) at E and N, respectively. Let \(A'\) be the antipode of A on \(\Gamma\) and let V be the point where AA' intersects BC. Given that EV = 6, VA' = 7, and A'N = 9, compute the radius of \(\Gamma\). If the final answer is a number larger than 1000, take modulo 1000.",750
"Circles \(\omega_a\), \(\omega_b\), \(\omega_c\) have centers A, B, C, respectively and are pairwise externally tangent at points D, E, F (with D \in BC, E \in CA, F \in AB). Lines BE and CF meet at T. Given that \(\omega_a\) has radius 341, there exists a line \(\ell\) tangent to all three circles, and there exists a circle of radius 49 tangent to all three circles, compute the distance from T to \(\ell\). If the final answer is a number larger than 1000, take modulo 1000.",294
"Let \(\Gamma\) be a circle of radius 1 centered at O. A circle \(\Omega\) is said to be friendly if there exist distinct circles \(\omega_1, \omega_2, \ldots, \omega_{2020}\), such that for all \(1 \leq i \leq 2020\), \(\omega_i\) is tangent to \(\Gamma\), \(\Omega\), and \(\omega_{i+1}\). (Here, \(\omega_{2021} = \omega_1\).) For each point P in the plane, let \(f(P)\) denote the sum of the areas of all friendly circles centered at P. If A and B are points such that \(OA = \frac{1}{2}\) and \(OB = 1\), determine \(f(A) - f(B)\). If the final answer is a number larger than 1000, take modulo 1000.",111
"Let $a$ and $b$ be positive integers with $a > b$. Suppose that $\sqrt{a + \sqrt{b}} + \sqrt{a - \sqrt{b}}$ is an integer. Must $a$ be an integer? If the final answer is a number larger than 1000, take modulo 1000.",1
"Let $m$ be a positive integer. Show that there exists a positive integer $n$ such that each of the $2m + 1$ integers $2n - m, 2n - (m - 1), \ldots, 2n + (m - 1), 2n + m$ is positive and composite. If the final answer is a number larger than 1000, take modulo 1000.",1
