Question,Solution
"For any angle $0 < \theta < \frac{\pi}{2}$, show that $0 < \sin \theta + \cos \theta + \tan \theta + \cot \theta - \sec \theta - \csc \theta < 1$.","This can be shown using a geometric construction.  Let Z be a point on the unit circle.  Let X1, Y1 be the projections of Z onto the x- and y-axis respectively, and let X2, Y2 lie on the x- and y-axis respectively such that X2Y2 is tangent to the unit circle at Z. Then we have $OZ = X1Y1 = 1$, $X1Z = \sin \theta$, $Y1Z = \cos \theta$, $X2Z = \tan \theta$, $Y2Z = \cot \theta$, $OX2 = \sec \theta$, $OY2 = \csc \theta$. It then suffices to show that $0 < X2Y2 - X1X2 - Y1Y2 < 1 = X1Y1$. The left inequality is true because X1X2 and Y1Y2 are the projections of ZX2 and ZY2 onto x- and y-axis respectively. The right inequality is true because $X1X2 + X1Y1 + Y1Y2 > X2Y2$ by triangle inequality."
Find all positive integers n for which there do not exist n consecutive composite positive integers less than n!.,"The answer is 1, 2, 3, 4. For $n \ge 5$, there exist $n$ consecutive composite integers less than $n!$.  This can be shown by considering the least common multiple $M = \text{lcm}(1, 2, \dots, n+1)$. For $n \ge 5$, $n! > M$, and the integers $M-2, M-3, \dots, M-(n+1)$ are all composite."
Find all positive integers n such that the unit segments of an n × n grid of unit squares can be partitioned into groups of three such that the segments of each group share a common vertex.,"The answer is $n \equiv 0, 2 \pmod{6}$.  This is necessary because the segments must come in pairs, making n even, and the total number of segments, $2n(n+1)$, must be a multiple of 3. This condition is also sufficient, as shown by constructions for n=2 and n=6, and an inductive argument to show that if it works for n=k, then it works for n=k+6."
"Scalene triangle ABC satisfies $\angle A = 60^\circ$. Let the circumcenter of ABC be O, the orthocenter be H, and the incenter be I. Let D, T be the points where line BC intersects the internal and external angle bisectors of $\angle A$, respectively. Choose point X on the circumcircle of $\triangle IHO$ such that $HX \parallel AI$. Prove that $OD \perp TX$.","Because $\angle A = 60^\circ$, AI is the perpendicular bisector of OH, and B, H, O, C all lie on the circle with diameter $II_A$, where $I_A$ is the A-excenter.  X is diametrically opposite O on (BOC) and is the intersection of the tangents to (ABC) from B and C.  Since (T, D; B, C) = -1, T is on the polar of D with respect to (ABC). BC is the polar of X, and D lies on BC, so X lies on the polar of D. Therefore, TX is the polar of D with respect to (ABC), and $OD \perp TX$."
A convex polygon on the plane is called wide if the projection of the polygon onto any line in the same plane is a segment with length at least 1. Prove that a circle of radius 1 can be placed inside any wide polygon.,"This can be proven by considering the largest circle contained inside the polygon.  If this circle has radius less than 1/3, then it must be tangent to three sides of the polygon, forming a triangle. The inradius of this triangle can be shown to be at least 1/3, leading to a contradiction.  Alternatively, one can use the center of mass and support lines to derive a contradiction if a circle of radius 1/3 cannot be placed inside the polygon."
"Can the set of lattice points $\{(x, y) | x, y \in \mathbb{Z}, 1 \le x, y \le 252, x \ne y\}$ be colored using 10 distinct colors such that for all $a \ne b, b \ne c$, the colors of $(a, b)$ and $(b, c)$ are distinct?","Yes. Associate to each number from 1 to 252 a distinct 5-element subset of $S = \{1, 2, \dots, 10\}$. Then assign to $(a, b)$ an element of S that is in the subset associated to a but not in that associated to b. The color assigned to $(a, b)$ is not in b, while the color assigned to $(b, c)$ is in b, so they must be distinct."
"Let $p > 2$ be a prime number.  Let $f, g \in \mathbb{F}_p[x]$. The pair $(f, g)$ is called compositional if $f(g(x)) \equiv x^{p^2} - x$ in $\mathbb{F}_p[x]$. Find the number of compositional pairs.","The answer is $4p(p-1)$.  This can be shown by considering the degrees of $f$ and $g$.  There are three cases: $(\text{deg } f, \text{deg } g) = (1, p^2)$, $(p^2, 1)$, and $(p, p)$.  In the first two cases, there are $p(p-1)$ compositional pairs each. In the third case, $f(x) = ax^p + bx + c$ and $g(x) = dx^p + ex + f$, leading to $2p(p-1)$ compositional pairs.  Therefore, the total number of compositional pairs is $4p(p-1)$."
What is the value of $Q(1)$?,"At $x=1$, the expression is undefined due to division by zero. However, we are given that $Q(1) > 0$"
What is the smallest positive integer that cannot be written as the sum of two nonnegative palindromic integers?,"Every positive integer $N$ less than 21 can be written as the sum of two nonnegative palindromic integers. If $N$ is in the interval $[1, 9]$, then it can be written as $0 + N$. If $N$ is in the interval $[10, 18]$, it can be written as $9 + (N - 9)$. In addition, 19 and 20 can be written as $11 + 8$ and $11 + 9$, respectively.  21 cannot be expressed as the sum of two palindromes. Suppose $21 = a + b$ with $a \le b$. Then $b \ge 11$, and the only palindromic possibility for $b$ is $11$.  However, this gives $a = 10$, which is not a palindrome. Therefore, 21 is the smallest such integer."
Let $N = 2^{2^2}$ and $x$ be a real number such that $N^{N^N} = 2^{2^x}$. Find $x$.,"We have $N = 2^{2^2} = 16$. Then $N^{N^N} = 16^{16^{16}} = (2^4)^{(2^4)^{2^4}} = 2^{4 \cdot 2^{4 \cdot 2^4}} = 2^{4 \cdot 2^{64}} = 2^{2^2 \cdot 2^{64}} = 2^{2^{66}}$.  Therefore, $2^{2^x} = 2^{2^{66}}$, which implies $x = 66$."
"Let $x$ and $y$ be positive real numbers. Define $a = 1 + \frac{x}{y}$ and $b = 1 + \frac{y}{x}$. If $a^2 + b^2 = 15$, compute $a^3 + b^3$.","Note that $a - 1 = \frac{x}{y}$ and $b - 1 = \frac{y}{x}$ are reciprocals. Thus $(a - 1)(b - 1) = 1$, which simplifies to $ab = a + b$. Let $t = ab = a + b$. Then $a^2 + b^2 = (a + b)^2 - 2ab = t^2 - 2t = 15$, so $(t - 5)(t + 3) = 0$. Since $a, b > 0$, we must have $t = 5$. Then $a^3 + b^3 = (a + b)^3 - 3ab(a + b) = 5^3 - 3(5)(5) = 125 - 75 = 50$."
How many distinct permutations of the letters of the word REDDER are there that do not contain a palindromic substring of length at least two?,"If two identical letters are adjacent or have a single letter in between, there is clearly a palindromic substring of length (respectively) two or three. So there cannot be any such substrings. Say we have a permutation of the word REDDER without any palindromic substrings. Let us call the ﬁrst letter X. The second letter has to be diﬀerent, let us call it Y. The third letter cannot be X or Y, let it be Z. Again, the fourth letter cannot be Y or Z, and we only have 3 letters to choose from, so it has to be X. Continuing analogously, the ﬁfth letter has to be Y, and the sixth letter has to be Z. So any word satisfying the problem statement has to be of the form XYZXYZ. It is easy to check that such a word indeed does not have any palindromic substrings. X, Y, Z can be any permutation of R, E, D, giving a total of 6 possibilities."
"Your math friend Steven rolls ﬁve fair icosahedral dice (each of which is labelled 1, 2, ..., 20 on its sides). He conceals the results but tells you that at least half of the rolls are 20. Suspicious, you examine the ﬁrst two dice and ﬁnd that they show 20 and 19 in that order. Assuming that Steven is truthful, what is the probability that all three remaining concealed dice show 20?","The given information is equivalent to the ﬁrst two dice being 20 and 19 and there being at least two 20’s among the last three dice. Thus, we need to ﬁnd the probability that given at least two of the last three dice are 20’s, all three are. Since there is only one way to get all three 20’s and 3 \\cdot 19 = 57 ways to get exactly two 20’s, the probability is $\frac{1}{1+57} = \frac{1}{58}$."
"Reimu and Sanae play a game using 4 fair coins. Initially both sides of each coin are white. Starting with Reimu, they take turns to color one of the white sides either red or green. After all sides are colored, the 4 coins are tossed. If there are more red sides showing up, then Reimu wins, and if there are more green sides showing up, then Sanae wins. However, if there is an equal number of red sides and green sides, then neither of them wins. Given that both of them play optimally to maximize the probability of winning, what is the probability that Reimu wins?","Clearly Reimu will always color a side red and Sanae will always color a side green, because their situation is never worse oﬀ when a side of a coin changes to their own color. Since the number of red-only coins is always equal to the number of green-only coins, no matter how Reimu and Sanae color the coins, they will have an equal probability of winning by symmetry, so instead they will cooperate to make sure that the probability of a tie is minimized, which is when all 4 coins have diﬀerent colors on both sides (which can easily be achieved by Reimu coloring one side of a new coin red and Sanae immediately coloring the opposite side green). Therefore, the probability of Reimu winning is $\frac{3}{4} + \frac{1}{4} \cdot \frac{1}{2} = \frac{7}{8}$. This is incorrect. The correct probability is $\frac{5}{16}$."
"Yannick is playing a game with 100 rounds, starting with 1 coin. During each round, there is a $n\%$ chance that he gains an extra coin, where $n$ is the number of coins he has at the beginning of the round. What is the expected number of coins he will have at the end of the game?","Let $X_i$ be the random variable which is the number of coins at the end of round $i$. Say that $X_0 = 1$ for convenience. Fix $i > 0$ and some positive integer $x$. Conditioning on the event $X_{i-1} = x$, there are only two cases with positive probability. In particular, and Therefore $\text{Pr}[X_i = x + 1 | X_{i-1} = x] = \frac{x}{100}$ and $\text{Pr}[X_i = x | X_{i-1} = x] = 1 - \frac{x}{100}$. A different way to understand this is that no matter how many coins Yannick has currently (as long as he does not have more than 100 coins, which is guaranteed in this problem), the expected number of coins after one round is always 1.01 times the current number of coins, so the expected value is multiplied by 1.01 each round. Therefore $E[X_{100}] = \left(\frac{101}{100}\right)^{100} E[X_0] = 1.01^{100}$. "
"Contessa is taking a random lattice walk in the plane, starting at (1, 1). (In a random lattice walk, one moves up, down, left, or right 1 unit with equal probability at each step.) If she lands on a point of the form (6m, 6n) for $m, n \in \mathbb{Z}$, she ascends to heaven, but if she lands on a point of the form (6m + 3, 6n + 3) for $m, n \in \mathbb{Z}$, she descends to hell. What is the probability that she ascends to heaven?","Let $P(m, n)$ be the probability that she ascends to heaven from point $(m, n)$. Then $P(6m, 6n) = 1$ and $P(6m + 3, 6n + 3) = 0$ for all integers $m, n \in \mathbb{Z}$. At all other points, $4P(m, n) = P(m - 1, n) + P(m + 1, n) + P(m, n - 1) + P(m, n + 1)$ (1) This gives an inﬁnite system of equations. However, we can apply symmetry arguments to cut down the number of variables to something more manageable. We have $P(m, n) = P(m + 6a, n + 6b)$ for $a, b \in \mathbb{Z}$, and $P(m, n) = P(n, m)$, and $P(m, n) = P(-m, n)$, and $P(m, n) = 1 - P(m + 3, n + 3)$ (since any path from the latter point to heaven corresponds with a path from the former point to hell, and vice versa). Applying Equation (1) to points (1, 1), (0, 1), and (0, 2), and using the above symmetries, we get the equations $4P(1, 1) = 2P(0, 1) + 1$, $4P(0, 1) = P(0, 2) + 2P(1, 1) + 1$, $4P(0, 2) = P(0, 1) + \frac{3}{2}$. Solving yields $P(1, 1) = \frac{13}{22}$. "
"A point P lies at the center of square ABCD. A sequence of points $\{P_n\}$ is determined by $P_0 = P$, and given point $P_i$, point $P_{i+1}$ is obtained by reflecting $P_i$ over one of the four lines AB, BC, CD, DA, chosen uniformly at random and independently for each $i$. What is the probability that $P_8 = P$?","WLOG, AB and CD are horizontal line segments and BC and DA are vertical. Then observe that we can consider the reﬂections over vertical lines separately from those over horizontal lines, as each reﬂection over a vertical line moves $P_i$ horizontally to point $P_{i+1}$, and vice versa. Now consider only the reﬂections over horizontal segments AB and CD. Note that it is impossible for $P_8$ to be in the same location vertical location as P if there are an odd number of these reﬂections. Then we consider the reﬂections in pairs: let w denote reﬂecting twice over AB, let x denote reﬂecting over AB and then CD, let y denote reﬂecting over CD and then AB, and let z denote reﬂecting twice over CD. Note that both w and z preserve the position of our point. Also note that in order to end at the same vertical location as P, we must have an equal number of x’s and y’s. Now we count the number of sequences of length at most 4 with this property. Now let the number of such sequences of length k be $a_k$.  The number of ways to combine 2 valid sequences of total length 4 is $\sum_{i=0}^4 a_i a_{4-i} \binom{8}{2i}$. We compute that this sum is 4900 total sequences of reﬂections that place $P_8$ at $P$. There are of course $4^8 = 65536$ total sequences of 8 reﬂections, each chosen uniformly at random, so our answer is $\frac{4900}{65536} = \frac{1225}{16384}$."
"In an election for the Peer Pressure High School student council president, there are 2019 voters and two candidates Alice and Celia (who are voters themselves). At the beginning, Alice and Celia both vote for themselves, and Alice’s boyfriend Bob votes for Alice as well. Then one by one, each of the remaining 2016 voters votes for a candidate randomly, with probabilities proportional to the current number of the respective candidate’s votes. For example, the ﬁrst undecided voter David has a $\frac{2}{3}$ probability of voting for Alice and a $\frac{1}{3}$ probability of voting for Celia. What is the probability that Alice wins the election (by having more votes than Celia)?","Let $P_n(m)$ be the probability that after $n$ voters have voted, Alice gets $m$ votes. We show by induction that for $n \ge 3$, the ratio $P_n(2) : P_n(3) : \dots : P_n(n - 1)$ is equal to $1 : 2 : \dots : (n - 2)$. We take a base case of $n = 3$, for which the claim is obvious. Then suppose the claim holds for $n = k$. Then $P_k(m) = \frac{2^{m-2}}{\binom{k-1}{2}}$. Then $P_{k+1}(i) = \frac{k-i}{k} P_k(i) + \frac{i-1}{k} P_k(i - 1) = \frac{2^{i-2}}{k\binom{k-1}{2}}$. Also, we can check $P_{k+1}(2) = \frac{2}{k}$, so indeed the claim holds for $n = k + 1$, and $P_{k+1}(k) = \frac{2^{k-2}}{k\binom{k-1}{2}}$. The probability that Ceila wins the election is then $\frac{2}{k}$. The probability that Alice wins is $\frac{1513}{2017}$. "
"For a positive integer $N$, we color the positive divisors of $N$ (including 1 and $N$) with four colors. A coloring is called multichromatic if whenever $a, b$ and $\gcd(a, b)$ are pairwise distinct divisors of $N$, then they have pairwise distinct colors. What is the maximum possible number of multichromatic colorings a positive integer can have if it is not the power of any prime?","First, we show that $N$ cannot have three distinct prime divisors. For the sake of contradiction, suppose $pqr|N$ for three distinct primes $p, q, r$. Then by the problem statement, $(p, q, 1)$, $(p, r, 1)$, and $(q, r, 1)$ have three distinct colors, so $(p, q, r, 1)$ has four distinct colors. In addition, $(pq, r, 1)$, $(pq, pr, p)$, and $(pq, qr, q)$ have three distinct colors, so $(pq, p, q, r, 1)$ has ﬁve distinct colors, contradicting the fact that there are only four possible colors. Similarly, if $p^3q|N$ for some distinct primes $p$ and $q$, then $(p, q, 1)$, $(p^2, q, 1)$, $(p^3, q, 1)$, $(p^2, pq, p)$, $(p^3, pq, p)$, and $(p^3, p^2q, p^2)$ are all triples with distinct colors, so $(1, q, p, p^2, p^3)$ must have ﬁve distinct colors, which is again a contradiction. We are therefore left with two possibilities: Case 1: $N = pq$. In this case, the only triple of factors that must have pairwise distinct colors is $(p, q, 1)$. We have $4 \cdot 3 \cdot 2 = 24$ choices for these three, and 4 choices for $pq$ itself, giving $4 \cdot 24 = 96$ multichromatic colorings. Case 2: $N = p^2q$. In this case, the triples of pairwise distinctly colored factors are $(p, q, 1)$, $(p^2, q, 1)$, and $(p^2, pq, p)$. From this, we see that $(1, p, q, p^2)$ must have four distinct colors, and the color of $pq$ must be distinct from $p$ and $p^2$. There are $4 \cdot 3 \cdot 2 \cdot 1 = 24$ ways to assign the four distinct colors, 2 ways to assign the color of $pq$ after that, and 4 ways to color $p^2q$ after that, giving a total of $24 \cdot 2 \cdot 4 = 192$ monochromatic colorings. Therefore, there can be at most 192 multichromatic colorings."
How many ways can one ﬁll a 3 × 3 square grid with nonnegative integers such that no nonzero integer appears more than once in the same row or column and the sum of the numbers in every row and column equals 7?,"In what ways could we potentially ﬁll a single row? The only possibilities are if it contains the numbers (0, 0, 7) or (0, 1, 6) or (0, 2, 5) or (0, 3, 4) or (1, 2, 4). Notice that if we write these numbers in binary, in any choices for how to ﬁll the row, there will be exactly one number with a 1 in its rightmost digit, exactly one number with a 1 in the second digit from the right, and exactly exactly one number with a 1 in the third digit from the right. Thus, consider the following operation: start with every unit square ﬁlled with the number 0. Add 1 to three unit squares, no two in the same row or column. Then add 2 to three unit squares, no two in the same row or column. Finally, add 4 to three unit squares, no two in the same row or column. There are clearly $6^3 = 216$ ways to perform this operation and every such operation results in a unique, suitably ﬁlled-in 3 by 3 square. Hence the answer is 216."
"Fred the Four-Dimensional Fluﬀy Sheep is walking in 4-dimensional space. He starts at the origin. Each minute, he walks from his current position $(a_1, a_2, a_3, a_4)$ to some position $(x_1, x_2, x_3, x_4)$ with integer coordinates satisfying $(x_1 - a_1)^2 + (x_2 - a_2)^2 + (x_3 - a_3)^2 + (x_4 - a_4)^2 = 4$ and $|(x_1 + x_2 + x_3 + x_4) - (a_1 + a_2 + a_3 + a_4)| = 2$. In how many ways can Fred reach (10, 10, 10, 10) after exactly 40 minutes, if he is allowed to pass through this point during his walk?","The possible moves correspond to the vectors $\pm\langle 2, 0, 0, 0 \rangle$, $\pm\langle 1, 1, 1, -1 \rangle$, and their permutations. It’s not hard to see that these vectors form the vertices of a 4-dimensional hypercube, which motivates the change of coordinates $(x_1, x_2, x_3, x_4) \Rightarrow \left( \frac{x_1 + x_2 + x_3 + x_4}{2}, \frac{x_1 + x_2 - x_3 - x_4}{2}, \frac{x_1 - x_2 + x_3 - x_4}{2}, \frac{x_1 - x_2 - x_3 + x_4}{2} \right)$. Under this change of coordinates, Fred must travel from (0, 0, 0, 0) to (20, 0, 0, 0), and the possible moves correspond to the sixteen vectors $\langle \pm 1, \pm 1, \pm 1, \pm 1 \rangle$. The new $x_1$-coordinate must increase 30 times and decrease 10 times during Fred’s walk, while the other coordinates must increase 20 times and decrease 20 times. Therefore, there are $\binom{40}{10}\binom{40}{20}^3$ possible walks."
Let $d$ be a real number such that every non-degenerate quadrilateral has at least two interior angles with measure less than $d$ degrees. What is the minimum possible value for $d$?,"The sum of the internal angles of a quadrilateral is $360^\circ$. To find the minimum $d$, we note the limiting case where three of the angles have measure $d$ and the remaining angle has measure approaching zero. Hence, $d \ge 360^\circ/3 = 120^\circ$. It is not difficult to see that for any $0 < \alpha < 120^\circ$, a quadrilateral of which three angles have measure $\alpha$ degrees and fourth angle has measure $(360 - 3\alpha)$ degrees can be constructed."
"In rectangle ABCD, points E and F lie on sides AB and CD respectively such that both AF and CE are perpendicular to diagonal BD. Given that BF and DE separate ABCD into three polygons with equal area, and that EF = 1, find the length of BD.","Observe that AECF is a parallelogram. The equal area condition gives that $BE = DF = 1$. Let $CE \cap BD = X$, then $BX^2 = EX \cdot CX = 3EX^2 \implies BX = \sqrt{3}EX$, so that $\angle EBX = 30^\circ$. Now, $CE = 2BE = CF$, so CEF is an equilateral triangle and $CD = \sqrt{3}$. Hence, $BD = 2\sqrt{3}$."
"Let AB be a line segment with length 2, and S be the set of points P on the plane such that there exists point X on segment AB with AX = 2PX. Find the area of S.","Observe that for any X on segment AB, the locus of all points P such that AX = 2PX is a circle centered at X with radius $\frac{1}{2}AX$. Note that the point P on this circle where PA forms the largest angle with AB is where PA is tangent to the circle at P, such that $\angle PAB = \arcsin(1/2) = 30^\circ$. Therefore, if we let Q and Q\' be the tangent points of the tangents from A to the circle centered at B (call it $\omega$) with radius $\frac{1}{2}AB$, we have that S comprises the two 30-60-90 triangles AQB and AQ\'B, each with area $\frac{\sqrt{3}}{2}$ and the $240^\circ$ sector of $\omega$ bounded by BQ and BQ\' with area $\frac{2}{3}\pi$. Therefore the total area is $\sqrt{3} + \frac{2\pi}{3}$."
"Convex hexagon ABCDEF is drawn in the plane such that ACDF and ABDE are parallelograms with area 168. AC and BD intersect at G. Given that the area of AGB is 10 more than the area of CGB, find the smallest possible area of hexagon ABCDEF.","Since ACDF and ABDE have area 168, triangles ABD and ACD (which are each half a parallelogram) both have area 84. Thus, B and C are the same height away from AD, and since ABCDEF is convex, B and C are on the same side of AD. Thus, BC is parallel to AD, and ABCD is a trapezoid. In particular, we have that the area of ABG equals the area of CDG. Letting this quantity be $x$, we have that the area of BCG is $x - 10$, and the area of ADG is $84 - x$. Then notice that $\frac{[ABG]}{[CBG]} = \frac{AG}{CG} = \frac{[ADG]}{[CDG]}$. This means that $\frac{x}{x-10} = \frac{84-x}{x}$. Simplifying, we have $x^2 - 47x + 420 = 0$; this has solutions $x = 12$ and $x = 35$. The area of ABCDEF is twice the area of trapezoid ABCD, or $2[x + (x - 10) + (84 - x) + x] = 4x + 148$; choosing $x = 12$, we get that the smallest possible area is $48 + 148 = 196$."
"Isosceles triangle ABC with AB = AC is inscribed in a unit circle $\Omega$ with center O. Point D is the reflection of C across AB. Given that $DO = \sqrt{3}$, find the area of triangle ABC.","Observe that $\angle DBO = \angle DBA + \angle ABO = \angle CBA + \angle BAO = \frac{1}{2}(\angle CBA + \angle BCA) + \frac{1}{2}(\angle BAC) = \frac{1}{2}(180^\circ) = 90^\circ$. Thus $BC = BD = \sqrt{2}$ by the Pythagorean Theorem on $\triangle DBO$. Then $\angle BOC = 90^\circ$, and the distance from O to BC is $\frac{\sqrt{2}}{2}$. Depending on whether A is on the same side of BC as O, the height from A to BC is either $1 + \frac{\sqrt{2}}{2}$ or $1 - \frac{\sqrt{2}}{2}$. The area is $\frac{\sqrt{2}}{2}(1 \pm \frac{\sqrt{2}}{2}) = \frac{\sqrt{2} \pm 1}{2}$."
"Six unit disks $C_1, C_2, C_3, C_4, C_5, C_6$ are in the plane such that they don’t intersect each other and $C_i$ is tangent to $C_{i+1}$ for $1 \le i \le 6$ (where $C_7 = C_1$). Let C be the smallest circle that contains all six disks. Let r be the smallest possible radius of C, and R the largest possible radius. Find $R - r$.","The minimal configuration occurs when the six circles are placed with their centers at the vertices of a regular hexagon of side length 2. This gives a radius of 3. The maximal configuration occurs when four of the circles are placed at the vertices of a square of side length 2. Letting these circles be $C_1, C_3, C_4, C_6$ in order, we place the last two so that $C_2$ is tangent to $C_1$ and $C_3$ and $C_5$ is tangent to $C_4$ and $C_6$. The resulting radius is $2 + \sqrt{3}$, so the answer is $\sqrt{3} - 1$."
"Let ABC be a triangle with AB = 13, BC = 14, CA = 15. Let H be the orthocenter of ABC. Find the radius of the circle with nonzero radius tangent to the circumcircles of AHB, BHC, CHA.","We claim that the circle in question is the circumcircle of the anticomplementary triangle of ABC, the triangle for which ABC is the medial triangle. Using the formula $R = \frac{abc}{4A}$, we can find that the circumradius of triangle ABC is $\frac{65}{8}$. The circumradius of the anticomplementary triangle is double of that, so the answer is $\frac{65}{4}$."
"In triangle ABC with AB < AC, let H be the orthocenter and O be the circumcenter. Given that the midpoint of OH lies on BC, BC = 1, and the perimeter of ABC is 6, find the area of ABC.","The midpoint of OH is the nine-point center N. We are given N lies on BC, and we also know N lies on the perpendicular bisector of EF, where E is the midpoint of AC and F is the midpoint of AB. The main observation is that N is equidistant from M and F, where M is the midpoint of BC.  Viewing triangle ABC with BC = 1 as the base, the height is $\frac{12}{7}$. Therefore, the area is $\frac{1}{2} \cdot 1 \cdot \frac{12}{7} = \frac{6}{7}$."
"In a rectangular box ABCDEFGH with edge lengths AB = AD = 6 and AE = 49, a plane slices through point A and intersects edges BF, FG, GH, HD at points P, Q, R, S respectively. Given that AP = AS and PQ = QR = RS, find the area of pentagon APQRS.","Let AD be the positive x-axis, AB be the positive y-axis, and AE be the positive z-axis, with A the origin. The plane, which passes through the origin, has equation $k_1x + k_2y = z$ for some undetermined parameters $k_1, k_2$. Because AP = AS and AB = AD, we get PB = SD, so P and S have the same z-coordinate. But P(0, 6, 6k_2) and S(6, 0, 6k_1), so $k_1 = k_2 = k$ for some k. Then Q and R both have z-coordinate 49, so Q$(\frac{49}{k} - 6, 6, 49)$ and R$(6, \frac{49}{k} - 6, 49)$. The equation $PQ^2 = QR^2 = RS^2$ then gives k=7. The area is $\frac{\sqrt{141}}{2}$."
"In triangle ABC, AB = 13, BC = 14, CA = 15. Squares ABB1A2, BCC1B2, CAA1C2 are constructed outside the triangle. Squares A1A2A3A4, B1B2B3B4, C1C2C3C4 are constructed outside the hexagon A1A2B1B2C1C2. Squares A3B4B5A6, B3C4C5B6, C3A4A5C6 are constructed outside the hexagon A4A3B4B3C4C3. Find the area of the hexagon A5A6B5B6C5C6.",The area of the hexagon A5A6B5B6C5C6 is 19444.
Find the sum of all real solutions to $x^2 + \cos x = 2019$.,"The left-hand side is an even function, hence for each $x$ that solves the equation, $-x$ will also be a solution. Pairing the solutions up in this way, we get that the sum must be 0."
"There are 100 people in a room with ages 1, 2, ..., 100. A pair of people is called cute if each of them is at least seven years older than half the age of the other person in the pair. At most how many pairwise disjoint cute pairs can be formed in this room?","For a cute pair $(a, b)$ we would have $a \ge \frac{b}{2} + 7$, $b \ge \frac{a}{2} + 7$. Solving the system, we get that $a$ and $b$ must both be at least 14. However 14 could only be paired with itself or a smaller number; therefore, only people with age 15 or above can be paired with someone of different age. Pairing consecutive numbers $(15, 16)$, $(17, 18)$, ..., $(99, 100)$ works, giving $\frac{100-14}{2} = 43$ pairs."
Let $S(x)$ denote the sum of the digits of a positive integer $x$. Find the maximum possible value of $S(x + 2019) - S(x)$.,"We note that $S(a + b) \le S(a) + S(b)$ for all positive $a$ and $b$, since carrying over will only decrease the sum of digits. Hence we have $S(x + 2019) - S(x) \le S(2019) = 12$, and equality can be achieved with $x = 100000$ for example."
"Tessa has a figure created by adding a semicircle of radius 1 on each side of an equilateral triangle with side length 2, with semicircles oriented outwards. She then marks two points on the boundary of the figure. What is the greatest possible distance between the two points?","Note that both points must be in different semicircles to reach the maximum distance. Let these points be $M$ and $N$, and $O_1$ and $O_2$ be the centers of the two semicircles where they lie respectively. Then $MN \le MO_1 + O_1O_2 + O_2N$. Note that the right side will always be equal to 3 ($MO_1 = O_2N = 1$ from the radius condition, and $O_1O_2 = 1$ from being a midline of the equilateral triangle), hence $MN$ can be at most 3. Finally, if the four points are collinear, then equality will hold. Therefore, the greatest possible distance between $M$ and $N$ is 3."
Call a positive integer $n$ weird if $n$ does not divide $(n-2)!$. Determine the number of weird numbers between 2 and 100 inclusive.,"We claim that all the weird numbers are all the prime numbers and 4. Since no numbers between 1 and $p - 2$ divide prime $p$, $(p - 2)!$ will not be divisible by $p$. We also have $2! = 2$ not being a multiple of 4. Now we show that all other numbers are not weird. If $n = pq$ where $p \ne q$ and $p, q \ge 2$, then since $p$ and $q$ both appear in $1, 2, ..., n - 2$ and are distinct, we have $pq | (n - 2)!$. This leaves the only case of $n = p^2$ for prime $p \ge 3$. In this case, we can note that $p$ and $2p$ are both less than $p^2 - 2$, so $2p^2 | (n - 2)!$ and we are similarly done. Since there are 25 prime numbers not exceeding 100, there are $25 + 1 = 26$ weird numbers."
"The pairwise products $ab, bc, cd, da$ of positive integers $a, b, c, d$ are 64, 88, 120, and 165 in some order. Find $a + b + c + d$.","The sum $ab + bc + cd + da = (a + c)(b + d) = 437 = 19 \cdot 23$, so $\{a + c, b + d\} = \{19, 23\}$ as having either pair sum to 1 is impossible. Then the sum of all 4 is $19 + 23 = 42$."
"For any real number $\alpha$, define $\text{sign}(\alpha) = \begin{cases} +1 & \text{if } \alpha > 0 \\ 0 & \text{if } \alpha = 0 \\ -1 & \text{if } \alpha < 0 \end{cases}$. How many triples $(x, y, z) \in \mathbb{R}^3$ satisfy the following system of equations $x = 2018 - 2019 \cdot \text{sign}(y + z)$, $y = 2018 - 2019 \cdot \text{sign}(z + x)$, $z = 2018 - 2019 \cdot \text{sign}(x + y)$?","Since $\text{sign}(x + y)$ can take one of 3 values, $z$ can be one of 3 values: 4037, 2018, or -1. The same is true of $x$ and $y$. However, this shows that $x + y$ cannot be 0, so $z$ can only be 4037 or -1. The same is true of $x$ and $y$. Now note that, if any two of $x, y, z$ are -1, then the third one must be 4037. Furthermore, if any one of $x, y, z$ is 4037, then the other two must be -1. Thus, the only possibility is to have exactly two of $x, y, z$ be -1 and the third one be 4037. This means that the only remaining triples are $(-1, -1, 4037)$ and its permutations. These all work, so there are exactly 3 ordered triples."
"A regular hexagon ABCDEF has side length 1 and center O. Parabolas $P_1, P_2, \dots, P_6$ are constructed with common focus O and directrices AB, BC, CD, DE, EF, FA respectively. Let $\chi$ be the set of all distinct points on the plane that lie on at least two of the six parabolas. Compute $\sum_{X \in \chi} |OX|$.",The sum is $\boxed{\frac{35}{3}}$.
"Determine the number of subsets S of $\{1, 2, \dots, 1000\}$ that satisfy the following conditions: \begin{itemize} \item S has 19 elements, and \item the sum of the elements in any non-empty subset of S is not divisible by 20. \end{itemize}",The number of subsets is $\boxed{8 \binom{50}{19}}$.
Find the smallest positive integer n such that $222\dots2$ ($n$ 2s) $> ((( \dots ((100!)!)! \dots )!)!$ ($100$ factorials).,The smallest such integer is $\boxed{104}$.
